"project_id","total_fund_rasing","stage","stage_status","biz_type","csrc_code","law_office_id","sponsor_id","sponsor_name","accounting_firm_id","accounting_firm_name","rating_agency_id","rating_agency_name","accept_apply_date","law_office_name","asset_evaluation_institute_id","asset_evaluation_institute_name","company_id","update_date","create_date","company_name","stage_name","stage_status_name","issue_market","csrc_desc","accept_apply_time","update_time","create_time"
"586",5.9986,5,1,1,"C33","10018","0_1084","招商证券股份有限公司","20025","天职国际会计师事务所（特殊普通合伙）","","","20200624141611","湖南启元律师事务所","30031","开元资产评估有限公司","59479802d3a5b0be11b01615f0f81336","20210114173608","20200618150942","株洲华锐精密工具股份有限公司","注册结果","注册生效",1,"金属制品业",1592979371000,1610616968000,1592464182000
"413",8.6237,5,1,1,"C35","10028","0_1032","国泰君安证券股份有限公司","20001","安永华明会计师事务所（特殊普通合伙）","","","20200427134202","北京观韬中茂律师事务所","30019","北京中同华资产评估有限公司","ac18dd26acfba9cd0300470d4dc6a3a3","20210114173557","20200416134136","青岛海泰新光科技股份有限公司","注册结果","注册生效",1,"专用设备制造业",1587966122000,1610616957000,1587015696000
"572",5.0413,8,,1,"C34","10012","0_1084","招商证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200630084833","北京市竞天公诚律师事务所","30019","北京中同华资产评估有限公司","d9393e5d9ceeaf86042bba02c1433abb","20210113174950","20200616181751","上海拓璞数控科技股份有限公司","终止","",1,"通用设备制造业",1593478113000,1610531390000,1592302671000
"706",24.2566,8,,1,"C27","10012","0_1096","中信证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200903133753","北京市竞天公诚律师事务所","30054","银信资产评估有限公司","ccc64bca12ceb43245593b0864b5b61c","20210108090535","20200831185024","天士力生物医药股份有限公司","终止","",1,"医药制造业",1599111473000,1610067935000,1598871024000
"480",10.919,5,1,1,"C27","10010","0_1035","海通证券股份有限公司","20030","中汇会计师事务所（特殊普通合伙）","","","20200527144150","广东信达律师事务所","","","a02b433a22bb3f8489fa1322c714a6e7","20210106175119","20200522195524","北京凯因科技股份有限公司","注册结果","注册生效",1,"医药制造业",1590561710000,1609926679000,1590148524000
"482",39.609,5,1,1,"C39","10011","0_1021","东莞证券股份有限公司","20010","福建华兴会计师事务所（特殊普通合伙）","","","20200528155411","北京市康达律师事务所","30023","广东联信资产评估土地房地产估价有限公司","3c4f15676d3ae16c37a4acbbf0cee805","20210106174743","20200524204607","生益电子股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1590652451000,1609926463000,1590324367000
"432",5.7,5,1,1,"C39","11419","0_1035","海通证券股份有限公司","20025","天职国际会计师事务所（特殊普通合伙）","","","20200429174435","国浩律师（杭州）事务所","30051","沃克森（北京）国际资产评估有限公司","ac1bdb4a2b0a389c6b3189d6456081c0","20210106174732","20200426184448","四方光电股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1588153475000,1609926452000,1587897888000
"464",4.6533,8,,1,"I65","10008","0_1058","民生证券股份有限公司","20025","天职国际会计师事务所（特殊普通合伙）","","","20200519122902","北京国枫律师事务所","30051","沃克森（北京）国际资产评估有限公司","4a51caa6e0a9656bd93537c91d32ac2d","20201231155816","20200512124531","北京芯愿景软件技术股份有限公司","终止","",1,"软件和信息技术服务业",1589862542000,1609401496000,1589258731000
"643",2.7,8,,1,"C40","10004","0_1032","国泰君安证券股份有限公司","20006","毕马威华振会计师事务所（特殊普通合伙）","","","20200629133216","上海市锦天城律师事务所","30030","江苏中企华中天资产评估有限公司","65bc6bbb67015e30226249f2e49ad9cd","20201230173745","20200623181120","苏州康代智能科技股份有限公司","终止","",1,"仪器仪表制造业",1593408736000,1609321065000,1592907080000
"449",4.4577,5,1,1,"C35","10006","0_1096","中信证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200513153031","北京市中伦律师事务所","30030","江苏中企华中天资产评估有限公司","7822d502f1b865ab5e9626fd397197f8","20201230173048","20200429184924","江苏康众数字医疗科技股份有限公司","注册结果","注册生效",1,"专用设备制造业",1589355031000,1609320648000,1588157364000
"455",4.2495,5,1,1,"C40","10009","0_1008","长城证券股份有限公司","20012","容诚会计师事务所（特殊普通合伙）","","","20200525175852","北京市金杜律师事务所","30070","北京华亚正信资产评估有限公司","adfbd3d70c7e39c579bf60f17cb95d25","20201230173031","20200506115113","优利德科技（中国）股份有限公司","注册结果","注册生效",1,"仪器仪表制造业",1590400732000,1609320631000,1588737073000
"510",9.0316,8,,1,"C27","10009","0_1043","华金证券股份有限公司","20024","天健会计师事务所（特殊普通合伙）","","","20200601151057","北京市金杜律师事务所","30008","北京天圆开资产评估有限公司","ea0fd4413711259b016adc88d0b35af8","20201228114730","20200529092846","山西锦波生物医药股份有限公司","终止","",1,"医药制造业",1590995457000,1609127250000,1590715726000
"791",11.4449,8,,1,"C27","11424","0_1084","招商证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20201203183136","国浩律师（苏州）事务所","30030","江苏中企华中天资产评估有限公司","db91b438bc950155a9dd38556945b8b2","20201225164241","20201201173155","江苏正济药业股份有限公司","终止","",1,"医药制造业",1606991496000,1608885761000,1606815115000
"691",3.3596,8,,1,"C39","10011","0_1061","平安证券股份有限公司","20007","大华会计师事务所（特殊普通合伙）","","","20200811135316","北京市康达律师事务所","30057","中和资产评估有限公司","d73d20957258fc0e6189e597b9102d89","20201225163940","20200806212352","昆腾微电子股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1597125196000,1608885580000,1596720232000
"461",6,5,1,1,"C26","11431","0_1047","华泰联合证券有限责任公司","20030","中汇会计师事务所（特殊普通合伙）","","","20200514092156","北京市中伦文德律师事务所","30002","北京北方亚事资产评估事务所（特殊普通合伙）","db0ada4d084c7543129b4d67b66311e7","20201224135209","20200507135027","江苏富淼科技股份有限公司","注册结果","注册生效",1,"化学原料和化学制品制造业",1589419316000,1608789129000,1588830627000
"446",4.9046,5,1,1,"C29","10021","0_1023","光大证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200508170148","北京海润天睿律师事务所","","","b512dc726b4cd12add4b950afa0c3fb2","20201224135159","20200429170654","广东聚石化学股份有限公司","注册结果","注册生效",1,"橡胶和塑料制品业",1588928508000,1608789119000,1588151214000
"470",3.2205,5,1,1,"C39","11419","0_1095","中信建投证券股份有限公司","20015","立信会计师事务所（特殊普通合伙）","","","20200525150129","国浩律师（杭州）事务所","30054","银信资产评估有限公司","03d8950800e1cf312041c328562f4401","20201224135145","20200519145032","常州银河世纪微电子股份有限公司","注册结果","注册生效",1,"计算机、通信和其他电子设备制造业",1590390089000,1608789105000,1589871032000
"659",5.767,8,,1,"C26","10008","0_1048","华西证券股份有限公司","20022","四川华信（集团）会计师事务所（特殊普通合伙）","","","20200717100817","北京国枫律师事务所","30060","中联资产评估集团有限公司","abc43d0f548c6b83342f25d4c8c9bd73","20201223145557","20200707210232","成都新朝阳作物科学股份有限公司","终止","",1,"化学原料和化学制品制造业",1594951697000,1608706557000,1594126952000
"375",5.05,8,,1,"C39","10032","0_1032","国泰君安证券股份有限公司","20027","信永中和会计师事务所（特殊普通合伙）","","","20200330083348","北京市嘉源律师事务所","30015","北京中企华资产评估有限责任公司","aa4d2cc473ca7b276986439ffe2a3c19","20201223095557","20200322204141","云南北方奥雷德光电科技股份有限公司","终止","",1,"计算机、通信和其他电子设备制造业",1585528428000,1608688557000,1584880901000
