"file_id","file_name","file_url","publish_time","file_type_of_process","file_type_of_audit","file_type_of_process_desc","file_type_of_audit_desc","company_name","stage","stage_name","project_id","company_id","publish_date"
"合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_中银国际证券股份有限公司关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的发行保荐书.pdf","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_中银国际证券股份有限公司关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的发行保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/32a2135ac630420389b6c2d9e8a2a575.pdf",1677772800000,4,,"申报稿","发行保荐书","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目",4,"申报稿","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","2023-03-03"
"合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_中银国际证券股份有限公司关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的上市保荐书.pdf","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_中银国际证券股份有限公司关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的上市保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/5290b98a0ed54ba59e9f2019c9e4ae46.pdf",1677772800000,4,,"申报稿","上市保荐书","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目",4,"申报稿","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","2023-03-03"
"合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_容诚会计师事务所（特殊普通合伙）关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_容诚会计师事务所（特殊普通合伙）关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","http://static.sse.com.cn/stock/information/c/202303/57478f67a15f463d8b1c55f888b0b3d3.pdf",1677772800000,4,,"申报稿","审计报告","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目",4,"申报稿","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","2023-03-03"
"合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_安徽天禾律师事务所关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目_安徽天禾律师事务所关于合肥汇通控股股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","http://static.sse.com.cn/stock/information/c/202303/c6c808fba48f46469f6a5040fde42361.pdf",1677772800000,4,,"申报稿","法律意见书","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目",4,"申报稿","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","合肥汇通控股股份有限公司首次公开发行股票并在主板上市项目","2023-03-03"
"鸿星科技（集团）股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","鸿星科技（集团）股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","http://static.sse.com.cn/stock/information/c/202303/e2c9bab3c98e4e2b8767df597e3f5843.pdf",1677772800000,4,3,"申报稿","招股说明书","鸿星科技（集团）股份有限公司",4,"申报稿","鸿星科技（集团）股份有限公司","鸿星科技（集团）股份有限公司","2023-03-03"
"安信证券股份有限公司关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市之发行保荐书.pdf","安信证券股份有限公司关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市之发行保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/8c395f1ce9d94733912bc5c57908d258.pdf",1677772800000,4,,"申报稿","发行保荐书","鸿星科技（集团）股份有限公司",4,"申报稿","鸿星科技（集团）股份有限公司","鸿星科技（集团）股份有限公司","2023-03-03"
"安信证券股份有限公司关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","安信证券股份有限公司关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市之上市保荐书.pdf","http://static.sse.com.cn/stock/information/c/202303/82aad5e51ed54c90ae293ebd6c34ea8d.pdf",1677772800000,4,,"申报稿","上市保荐书","鸿星科技（集团）股份有限公司",4,"申报稿","鸿星科技（集团）股份有限公司","鸿星科技（集团）股份有限公司","2023-03-03"
"立信会计师事务所（特殊普通合伙）关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","立信会计师事务所（特殊普通合伙）关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市的财务报告及审计报告.pdf","http://static.sse.com.cn/stock/information/c/202303/60861979e3514d79880b7f0a7f5a8d40.pdf",1677772800000,4,,"申报稿","审计报告","鸿星科技（集团）股份有限公司",4,"申报稿","鸿星科技（集团）股份有限公司","鸿星科技（集团）股份有限公司","2023-03-03"
"上海市锦天城律师事务所关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","上海市锦天城律师事务所关于鸿星科技（集团）股份有限公司首次公开发行股票并在主板上市的法律意见书.pdf","http://static.sse.com.cn/stock/information/c/202303/be45d8eb038e43348208d2222681e642.pdf",1677772800000,4,,"申报稿","法律意见书","鸿星科技（集团）股份有限公司",4,"申报稿","鸿星科技（集团）股份有限公司","鸿星科技（集团）股份有限公司","2023-03-03"
"湖北祥云（集团）化工股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","湖北祥云（集团）化工股份有限公司主板首次公开发行股票招股说明书（申报稿）.pdf","http://static.sse.com.cn/stock/information/c/202303/cc77f01f6ca14a15b41f2a8001669e22.pdf",1677772800000,4,3,"申报稿","招股说明书","湖北祥云（集团）化工股份有限公司",4,"申报稿","湖北祥云（集团）化工股份有限公司","湖北祥云（集团）化工股份有限公司","2023-03-03"
