"stock_exchange_type_desc","time","count","date","stock_exchange_type"
"创业板",1670169600000,1041,"2022-12-05",2
"科创板",1670169600000,839,"2022-12-05",1
"沪市主板",1670169600000,2315,"2022-12-05",3
"深市主板",1670169600000,1162,"2022-12-05",4
"创业板",1670256000000,1041,"2022-12-06",2
"科创板",1670256000000,839,"2022-12-06",1
"沪市主板",1670256000000,2317,"2022-12-06",3
"深市主板",1670256000000,1166,"2022-12-06",4
"创业板",1670342400000,1041,"2022-12-07",2
"科创板",1670342400000,839,"2022-12-07",1
"沪市主板",1670342400000,2317,"2022-12-07",3
"深市主板",1670342400000,1166,"2022-12-07",4
"创业板",1670428800000,1041,"2022-12-08",2
"科创板",1670428800000,839,"2022-12-08",1
"沪市主板",1670428800000,2317,"2022-12-08",3
"深市主板",1670428800000,1166,"2022-12-08",4
"创业板",1670515200000,1041,"2022-12-09",2
"科创板",1670515200000,840,"2022-12-09",1
"沪市主板",1670515200000,2317,"2022-12-09",3
"深市主板",1670515200000,1166,"2022-12-09",4
"创业板",1670601600000,1041,"2022-12-10",2
"科创板",1670601600000,840,"2022-12-10",1
"沪市主板",1670601600000,2317,"2022-12-10",3
"深市主板",1670601600000,1166,"2022-12-10",4
"创业板",1670688000000,1041,"2022-12-11",2
"科创板",1670688000000,840,"2022-12-11",1
"沪市主板",1670688000000,2317,"2022-12-11",3
"深市主板",1670688000000,1166,"2022-12-11",4
"创业板",1670774400000,1041,"2022-12-12",2
"科创板",1670774400000,840,"2022-12-12",1
"沪市主板",1670774400000,2317,"2022-12-12",3
"深市主板",1670774400000,1166,"2022-12-12",4
"创业板",1670947200000,1041,"2022-12-14",2
"科创板",1670947200000,840,"2022-12-14",1
"沪市主板",1670947200000,2317,"2022-12-14",3
"深市主板",1670947200000,1166,"2022-12-14",4
"创业板",1671033600000,1041,"2022-12-15",2
"科创板",1671033600000,840,"2022-12-15",1
"沪市主板",1671033600000,2317,"2022-12-15",3
"深市主板",1671033600000,1166,"2022-12-15",4
"创业板",1671120000000,1043,"2022-12-16",2
"科创板",1671120000000,841,"2022-12-16",1
"创业板",1671206400000,1043,"2022-12-17",2
"科创板",1671206400000,841,"2022-12-17",1
"沪市主板",1671206400000,2319,"2022-12-17",3
